#BGC Name	Family Number
Pf9_c03362_NODE_33...region001	93
gb126_c16439_NODE_16...region001	93
gb305_c09661_NODE_96...region001	93
gb3_2_c10808_NODE_10...region001	93
gb4_2_c07183_NODE_71...region001	93
gb5_2_c11477_NODE_11...region001	93
gb6_c07656_NODE_76...region001	93
Aply16_c00016_NODE_16...region001	94
Aply21_c00084_NODE_84...region001	94
Aply22_c00076_NODE_76...region001	94
Pf11_c00125_NODE_12...region001	94
Pf5_c00139_NODE_13...region001	94
Pf7_c00375_NODE_37...region001	94
Pf8_c00018_NODE_18...region001	94
Pf8_c00546_NODE_54...region001	94
gb6_c01684_NODE_16...region001	94
Aply16_c00171_NODE_17...region001	102
Aply21_c00227_NODE_22...region001	102
Aply22_c00331_NODE_33...region001	102
Aply21_c00383_NODE_38...region001	108
Aply21_c00485_NODE_48...region001	110
Aply21_c00613_NODE_61...region001	114
Aply16_c00222_NODE_22...region001	116
Aply21_c00661_NODE_66...region001	116
Aply22_c00503_NODE_50...region001	116
Pf5_c00030_NODE_30...region001	116
Aply21_c00965_NODE_96...region001	120
Aply21_c01167_NODE_11...region001	124
Aply22_c06601_NODE_66...region001	124
Pf10_c02834_NODE_28...region001	124
Pf9_c08627_NODE_86...region001	124
gb305_c02887_NODE_28...region001	124
gb3_2_c01620_NODE_16...region001	124
gb5_2_c02507_NODE_25...region001	124
Aply21_c01259_NODE_12...region001	127
Aply22_c01247_NODE_12...region001	127
Pf10_c00282_NODE_28...region001	127
Pf10_c00376_NODE_37...region001	127
Pf11_c00162_NODE_16...region001	127
Pf11_c08978_NODE_89...region001	127
Pf12_c00141_NODE_14...region001	127
Pf12_c00281_NODE_28...region001	127
Pf7_c00030_NODE_30...region001	127
Pf8_c12323_NODE_12...region001	127
Aply21_c01264_NODE_12...region001	128
Aply22_c00310_NODE_31...region001	128
Aply21_c01274_NODE_12...region001	130
Aply21_c01303_NODE_13...region001	132
Aply21_c03266_NODE_32...region001	141
Aply21_c04759_NODE_47...region001	144
Aply21_c04862_NODE_48...region001	145
Aply21_c05590_NODE_55...region001	151
Aply22_c00022_NODE_22...region001	158
Pf4_c00013_NODE_13...region001	158
Pf5_c00334_NODE_33...region001	158
Pf6_c00403_NODE_40...region001	158
Pf8_c14853_NODE_14...region001	158
Pf9_c00282_NODE_28...region001	158
Aply22_c00025_NODE_25...region001	159
Aply22_c00040_NODE_40...region001	163
Pf4_c00021_NODE_21...region001	163
Pf5_c00711_NODE_71...region001	163
Pf6_c00306_NODE_30...region001	163
Aply16_c00877_NODE_87...region001	167
Aply21_c00888_NODE_88...region001	167
Aply22_c00071_NODE_71...region001	167
Aply16_c00159_NODE_15...region001	172
Aply21_c00135_NODE_13...region001	172
Aply22_c00116_NODE_11...region001	172
Aply16_c00240_NODE_24...region001	177
Aply22_c00152_NODE_15...region001	177
Aply22_c00157_NODE_15...region001	178
Aply22_c00196_NODE_19...region001	182
Aply21_c00466_NODE_46...region001	187
Aply22_c00276_NODE_27...region001	187
Aply22_c00344_NODE_34...region001	194
Aply16_c00232_NODE_23...region001	197
Aply21_c00222_NODE_22...region001	197
Aply22_c00384_NODE_38...region001	197
Aply16_c03530_NODE_35...region001	198
Aply22_c00408_NODE_40...region001	198
gb7_c02945_NODE_29...region001	198
Aply16_c00059_NODE_59...region001	200
Aply22_c00445_NODE_44...region001	200
Aply23_c02070_NODE_20...region001	200
Aply22_c00580_NODE_58...region001	208
Aply22_c00674_NODE_67...region001	211
Aply22_c00842_NODE_84...region001	214
Aply22_c01076_NODE_10...region001	219
Aply16_c05105_NODE_51...region001	221
Aply21_c06336_NODE_63...region001	221
Aply22_c00225_NODE_22...region001	221
Aply22_c00452_NODE_45...region001	221
Aply22_c01166_NODE_11...region001	221
Pf11_c03044_NODE_30...region001	221
Pf5_c03666_NODE_36...region001	221
Pf6_c02688_NODE_26...region001	221
Pf9_c05314_NODE_53...region001	221
Aply16_c06673_NODE_66...region001	224
Aply22_c01292_NODE_12...region001	224
Pf9_c00372_NODE_37...region001	224
Aply22_c01606_NODE_16...region001	231
Aply22_c01613_NODE_16...region001	232
Aply21_c05919_NODE_59...region001	237
Aply22_c01898_NODE_18...region001	237
Aply22_c01959_NODE_19...region001	239
Aply22_c02004_NODE_20...region001	240
Pf10_c05272_NODE_52...region001	240
Pf12_c01090_NODE_10...region001	240
Pf6_c12186_NODE_12...region001	240
Pf8_c07491_NODE_74...region001	240
gb3_2_c04298_NODE_42...region001	240
Aply22_c02431_NODE_24...region001	248
Aply16_c01627_NODE_16...region001	249
Aply22_c02455_NODE_24...region001	249
Aply16_c01180_NODE_11...region001	251
Aply21_c00941_NODE_94...region001	251
Aply22_c02547_NODE_25...region001	251
Aply16_c00989_NODE_98...region001	254
Aply22_c02762_NODE_27...region001	254
Aply23_c00395_NODE_39...region001	254
Aply22_c02797_NODE_27...region001	255
Aply22_c02832_NODE_28...region001	256
Aply22_c03009_NODE_30...region001	261
Aply22_c03022_NODE_30...region001	262
Aply22_c03034_NODE_30...region001	263
Aply22_c03067_NODE_30...region001	264
Aply22_c03075_NODE_30...region001	265
Aply22_c03591_NODE_35...region001	273
Aply22_c03921_NODE_39...region001	276
Aply22_c03949_NODE_39...region001	277
Aply22_c03969_NODE_39...region001	278
Aply22_c04915_NODE_49...region001	284
Aply22_c05811_NODE_58...region001	292
Aply22_c06533_NODE_65...region001	297
Aply22_c06572_NODE_65...region001	298
Aply22_c06678_NODE_66...region001	301
Aply22_c06939_NODE_69...region001	302
Aply22_c07216_NODE_72...region001	304
Aply22_c08383_NODE_83...region001	310
Aply22_c08978_NODE_89...region001	314
Aply22_c09320_NODE_93...region001	317
Pf9_c07364_NODE_73...region001	317
Pf9_c08094_NODE_80...region001	317
Pf9_c10524_NODE_10...region001	317
Aply22_c09828_NODE_98...region001	321
Aply22_c10088_NODE_10...region001	322
Pf7_c00733_NODE_73...region001	322
Aply22_c10813_NODE_10...region001	329
Aply21_c05502_NODE_55...region001	330
Aply22_c10969_NODE_10...region001	330
Aply23_c07525_NODE_75...region001	330
Pf7_c19007_NODE_19...region001	330
gb3_2_c13643_NODE_13...region001	330
gb5_2_c04172_NODE_41...region001	330
gb7_c08472_NODE_84...region001	330
Aply16_c00169_NODE_16...region001	337
Aply21_c00165_NODE_16...region001	337
Aply22_c03406_NODE_34...region001	337
Aply23_c00092_NODE_92...region001	337
Aply16_c00378_NODE_37...region001	338
Aply22_c04472_NODE_44...region001	338
Aply22_c05191_NODE_51...region001	338
Aply23_c00174_NODE_17...region001	338
Aply23_c00330_NODE_33...region001	342
Aply16_c01951_NODE_19...region001	343
Aply21_c01041_NODE_10...region001	343
Aply22_c03527_NODE_35...region001	343
Aply23_c00331_NODE_33...region001	343
Aply23_c00446_NODE_44...region001	347
Aply16_c03238_NODE_32...region001	351
Aply21_c00723_NODE_72...region001	351
Aply23_c00608_NODE_60...region001	351
Aply22_c00296_NODE_29...region001	354
Aply23_c00914_NODE_91...region001	354
Aply16_c02020_NODE_20...region001	356
Aply23_c00970_NODE_97...region001	356
Aply16_c06824_NODE_68...region001	357
Aply22_c02128_NODE_21...region001	357
Aply22_c02839_NODE_28...region001	357
Aply23_c01004_NODE_10...region001	357
Pf10_c02924_NODE_29...region001	357
gb1_c08315_NODE_83...region001	357
Aply23_c01070_NODE_10...region001	360
Aply23_c01165_NODE_11...region001	362
Aply23_c01185_NODE_11...region001	363
Aply16_c01350_NODE_13...region001	366
Aply22_c04234_NODE_42...region001	366
Aply23_c01297_NODE_12...region001	366
Aply23_c01342_NODE_13...region001	367
gb5_2_c07862_NODE_78...region001	367
gb8_2_c21401_NODE_21...region001	367
Aply23_c01513_NODE_15...region001	369
Aply23_c01711_NODE_17...region001	370
Aply16_c02234_NODE_22...region001	380
Aply21_c02192_NODE_21...region001	380
Aply22_c00443_NODE_44...region001	380
Aply23_c02154_NODE_21...region001	380
Pf10_c00910_NODE_91...region001	380
Pf11_c04408_NODE_44...region001	380
Pf12_c00118_NODE_11...region001	380
Pf4_c00259_NODE_25...region001	380
Pf5_c00412_NODE_41...region001	380
Pf6_c01448_NODE_14...region001	380
Pf7_c03940_NODE_39...region001	380
Pf9_c05677_NODE_56...region001	380
gb7_c02564_NODE_25...region001	380
Aply16_c00927_NODE_92...region001	381
Aply22_c01401_NODE_14...region001	381
Aply23_c02180_NODE_21...region001	381
gb5_2_c00858_NODE_85...region001	381
gb6_c06255_NODE_62...region001	381
gb8_2_c01466_NODE_14...region001	381
Aply23_c02431_NODE_24...region001	383
Aply23_c02451_NODE_24...region001	385
Aply23_c02675_NODE_26...region001	387
Aply23_c02843_NODE_28...region001	389
Aply16_c06090_NODE_60...region001	393
Aply23_c04084_NODE_40...region001	393
Pf11_c07299_NODE_72...region001	393
Pf9_c06132_NODE_61...region001	393
gb278_c13435_NODE_13...region001	393
Aply23_c04566_NODE_45...region001	395
Aply23_c04684_NODE_46...region001	396
Aply16_c03728_NODE_37...region001	400
Aply21_c01937_NODE_19...region001	400
Aply22_c11026_NODE_11...region001	400
Aply23_c05245_NODE_52...region001	400
Aply23_c05764_NODE_57...region001	402
Aply23_c06126_NODE_61...region001	403
Aply23_c06494_NODE_64...region001	405
gb3_2_c20325_NODE_20...region001	405
Aply16_c00731_NODE_73...region001	407
Aply21_c00279_NODE_27...region001	407
Aply22_c00543_NODE_54...region001	407
Aply22_c01491_NODE_14...region001	407
Aply22_c02458_NODE_24...region001	407
Aply23_c07557_NODE_75...region001	407
Pf10_c01227_NODE_12...region001	407
Pf10_c06612_NODE_66...region001	407
Pf11_c09134_NODE_91...region001	407
Pf4_c15578_NODE_15...region001	407
Pf4_c17282_NODE_17...region001	407
Pf7_c10599_NODE_10...region001	407
Pf7_c15932_NODE_15...region001	407
Aply23_c07737_NODE_77...region001	408
Pf4_c09343_NODE_93...region001	408
Pf7_c02892_NODE_28...region001	408
gb10_c20084_NODE_20...region001	408
gb126_c16235_NODE_16...region001	408
gb278_c02326_NODE_23...region001	408
gb3_2_c12200_NODE_12...region001	408
gb8_2_c17035_NODE_17...region001	408
gb9_c06517_NODE_65...region001	408
BGC0000852.1	1247
BGC0000853.1	1247
BGC0000858.1	1247
BGC0000860.1	1247
sw_8_c01441_NODE_14...region001	1247
BGC0000854.1	1254
BGC0000855.1	1254
BGC0000856.1	1254
BGC0000857.1	1254
BGC0000859.1	1254
Pf11_c02271_NODE_22...region001	2232
Pf4_c02664_NODE_26...region001	2232
sw_9_c02387_NODE_23...region001	2232
sw_7_c00651_NODE_65...region001	2234
sw_9_c01025_NODE_10...region001	2234
gb5_6_f_c02978_NODE_29...region001	2236
sw_8_c00150_NODE_15...region001	2236
sw_9_c01476_NODE_14...region001	2236
Pf10_c00008_NODE_8_...region001	2284
Pf11_c00029_NODE_29...region001	2284
Pf12_c00212_NODE_21...region001	2284
Pf10_c00037_NODE_37...region001	2290
Pf12_c00497_NODE_49...region001	2290
Pf5_c00018_NODE_18...region001	2290
Pf10_c00160_NODE_16...region001	2297
Pf11_c00069_NODE_69...region001	2297
Pf12_c00168_NODE_16...region001	2297
Pf4_c00019_NODE_19...region001	2297
Pf6_c00994_NODE_99...region001	2297
Pf7_c07651_NODE_76...region001	2297
Pf8_c00417_NODE_41...region001	2297
Pf10_c00188_NODE_18...region001	2299
Pf4_c00930_NODE_93...region001	2299
gb126_c01031_NODE_10...region001	2299
gb278_c00889_NODE_88...region001	2299
gb305_c00908_NODE_90...region001	2299
Pf10_c00206_NODE_20...region001	2300
Pf11_c00682_NODE_68...region001	2300
Pf12_c00014_NODE_14...region001	2300
Pf4_c00020_NODE_20...region001	2300
Pf6_c01109_NODE_11...region001	2300
Pf7_c00017_NODE_17...region001	2300
Pf9_c00174_NODE_17...region001	2300
gb10_c01439_NODE_14...region001	2300
gb8_2_c00506_NODE_50...region001	2300
Pf10_c00318_NODE_31...region001	2311
Pf5_c00455_NODE_45...region001	2311
Pf6_c00624_NODE_62...region001	2311
Pf10_c00667_NODE_66...region001	2328
Pf11_c00319_NODE_31...region001	2328
Pf12_c00273_NODE_27...region001	2328
Pf5_c00923_NODE_92...region001	2328
Pf6_c03062_NODE_30...region001	2328
Pf7_c00630_NODE_63...region001	2328
Pf8_c00041_NODE_41...region001	2328
Pf10_c00727_NODE_72...region001	2331
Pf12_c00790_NODE_79...region001	2331
Pf7_c00887_NODE_88...region001	2331
Pf9_c00816_NODE_81...region001	2331
Pf10_c00755_NODE_75...region001	2332
Pf11_c01916_NODE_19...region001	2332
Pf12_c04991_NODE_49...region001	2332
Pf4_c02200_NODE_22...region001	2332
Pf5_c00188_NODE_18...region001	2332
Pf6_c02400_NODE_24...region001	2332
Pf7_c02103_NODE_21...region001	2332
Pf8_c00073_NODE_73...region001	2332
Pf9_c01233_NODE_12...region001	2332
Pf10_c00778_NODE_77...region001	2334
Pf10_c00980_NODE_98...region001	2344
Aply22_c03914_NODE_39...region001	2358
Pf10_c01476_NODE_14...region001	2358
Pf11_c01589_NODE_15...region001	2358
Pf12_c03561_NODE_35...region001	2358
Pf4_c00774_NODE_77...region001	2358
Pf5_c02019_NODE_20...region001	2358
Pf10_c01674_NODE_16...region001	2364
Pf5_c00371_NODE_37...region001	2364
Pf7_c02388_NODE_23...region001	2364
Pf7_c16171_NODE_16...region001	2364
Pf8_c01165_NODE_11...region001	2364
Pf10_c02072_NODE_20...region001	2373
Pf10_c02670_NODE_26...region001	2383
Pf12_c02506_NODE_25...region001	2383
Pf4_c04131_NODE_41...region001	2383
Pf10_c02792_NODE_27...region001	2386
Pf11_c03961_NODE_39...region001	2386
Pf12_c09787_NODE_97...region001	2386
Pf4_c00589_NODE_58...region001	2386
Pf4_c12266_NODE_12...region001	2386
Pf5_c02663_NODE_26...region001	2386
Pf5_c04479_NODE_44...region001	2386
Pf6_c00974_NODE_97...region001	2386
Pf6_c14134_NODE_14...region001	2386
Pf7_c00923_NODE_92...region001	2386
Pf8_c04451_NODE_44...region001	2386
Pf9_c00091_NODE_91...region001	2386
Pf10_c02922_NODE_29...region001	2388
Pf10_c03138_NODE_31...region001	2393
Pf10_c03459_NODE_34...region001	2397
Pf11_c06320_NODE_63...region001	2397
Pf12_c02236_NODE_22...region001	2397
Pf4_c13943_NODE_13...region001	2397
Pf5_c00696_NODE_69...region001	2397
Pf6_c04405_NODE_44...region001	2397
Pf7_c01351_NODE_13...region001	2397
Pf8_c03381_NODE_33...region001	2397
Pf9_c02755_NODE_27...region001	2397
Pf10_c03604_NODE_36...region001	2398
Pf5_c00817_NODE_81...region001	2398
Pf6_c01057_NODE_10...region001	2398
Aply21_c01838_NODE_18...region001	2399
Aply22_c00280_NODE_28...region001	2399
Aply22_c01934_NODE_19...region001	2399
Pf10_c03659_NODE_36...region001	2399
Pf11_c03652_NODE_36...region001	2399
Pf12_c04801_NODE_48...region001	2399
Pf5_c03362_NODE_33...region001	2399
Pf6_c01216_NODE_12...region001	2399
Pf6_c02249_NODE_22...region001	2399
Pf7_c04198_NODE_41...region001	2399
Pf7_c05953_NODE_59...region001	2399
Pf9_c04357_NODE_43...region001	2399
Pf10_c04205_NODE_42...region001	2410
Aply23_c05498_NODE_54...region001	2411
Pf10_c04209_NODE_42...region001	2411
Pf5_c00086_NODE_86...region001	2411
Pf6_c04187_NODE_41...region001	2411
Pf7_c03254_NODE_32...region001	2411
Pf10_c00255_NODE_25...region001	2414
Pf10_c04411_NODE_44...region001	2414
Pf11_c01634_NODE_16...region001	2414
Pf12_c01031_NODE_10...region001	2414
Pf4_c01301_NODE_13...region001	2414
Pf5_c02545_NODE_25...region001	2414
Pf6_c01155_NODE_11...region001	2414
Pf6_c06045_NODE_60...region001	2414
Pf7_c03192_NODE_31...region001	2414
Pf8_c04460_NODE_44...region001	2414
gb126_c03936_NODE_39...region001	2414
gb2_2_c00369_NODE_36...region001	2414
gb2_2_c13081_NODE_13...region001	2414
gb5_2_c05661_NODE_56...region001	2414
gb6_c05704_NODE_57...region001	2414
Pf10_c04825_NODE_48...region001	2420
Pf11_c01617_NODE_16...region001	2420
Pf12_c00762_NODE_76...region001	2420
Pf4_c06047_NODE_60...region001	2420
Pf6_c04638_NODE_46...region001	2420
Pf7_c02752_NODE_27...region001	2420
Pf8_c05060_NODE_50...region001	2420
Pf10_c05214_NODE_52...region001	2424
Pf12_c04407_NODE_44...region001	2424
Pf4_c05346_NODE_53...region001	2424
Pf8_c06382_NODE_63...region001	2424
Pf9_c01467_NODE_14...region001	2424
Pf10_c05273_NODE_52...region001	2427
Pf10_c05793_NODE_57...region001	2431
Pf11_c02012_NODE_20...region001	2431
Pf12_c00417_NODE_41...region001	2431
Pf5_c00717_NODE_71...region001	2431
Pf7_c00076_NODE_76...region001	2431
Pf9_c00249_NODE_24...region001	2431
Aply16_c05206_NODE_52...region001	2433
Pf10_c06599_NODE_65...region001	2433
Pf5_c01636_NODE_16...region001	2433
Pf7_c01503_NODE_15...region001	2433
Pf8_c02509_NODE_25...region001	2433
Pf10_c07216_NODE_72...region001	2442
Pf10_c08765_NODE_87...region001	2452
Pf8_c00349_NODE_34...region001	2452
Pf10_c09100_NODE_91...region001	2454
Pf4_c15716_NODE_15...region001	2454
Pf6_c08953_NODE_89...region001	2454
Pf8_c05485_NODE_54...region001	2454
Pf10_c09867_NODE_98...region001	2457
Pf11_c17152_NODE_17...region001	2457
Pf4_c07611_NODE_76...region001	2457
Pf5_c01006_NODE_10...region001	2457
Aply21_c05053_NODE_50...region001	2462
Pf10_c11345_NODE_11...region001	2462
Pf4_c07423_NODE_74...region001	2462
gb3_2_c03743_NODE_37...region001	2462
gb8_2_c01238_NODE_12...region001	2462
Pf10_c12293_NODE_12...region001	2464
Pf12_c06377_NODE_63...region001	2464
Pf6_c08484_NODE_84...region001	2464
Pf8_c15010_NODE_15...region001	2464
gb10_c24333_NODE_24...region001	2464
gb3_2_c23639_NODE_23...region001	2464
gb4_2_c01678_NODE_16...region001	2464
Pf10_c14516_NODE_14...region001	2472
Pf11_c08663_NODE_86...region001	2472
Aply23_c01286_NODE_12...region001	2477
Pf11_c00025_NODE_25...region001	2477
Pf4_c00137_NODE_13...region001	2477
Pf7_c01789_NODE_17...region001	2477
Pf11_c00054_NODE_54...region001	2483
Pf10_c00210_NODE_21...region001	2494
Pf11_c00188_NODE_18...region001	2494
Pf12_c00227_NODE_22...region001	2494
Pf4_c00063_NODE_63...region001	2494
Pf5_c01066_NODE_10...region001	2494
Pf11_c00205_NODE_20...region001	2495
Pf5_c00423_NODE_42...region001	2495
Pf7_c03920_NODE_39...region001	2495
Pf9_c02324_NODE_23...region001	2495
Pf11_c00216_NODE_21...region001	2496
Pf4_c00008_NODE_8_...region001	2496
Pf10_c11595_NODE_11...region001	2502
Pf11_c00284_NODE_28...region001	2502
Pf12_c00032_NODE_32...region001	2502
Pf6_c06158_NODE_61...region001	2502
Pf8_c01420_NODE_14...region001	2502
Pf9_c04528_NODE_45...region001	2502
Pf9_c06627_NODE_66...region001	2502
Pf10_c00533_NODE_53...region001	2521
Pf11_c00658_NODE_65...region001	2521
Pf12_c00033_NODE_33...region001	2521
Pf4_c00588_NODE_58...region001	2521
Pf5_c01460_NODE_14...region001	2521
Pf6_c00410_NODE_41...region001	2521
Pf7_c01966_NODE_19...region001	2521
Pf8_c00910_NODE_91...region001	2521
Aply16_c00104_NODE_10...region001	2527
Aply22_c00167_NODE_16...region001	2527
Pf10_c04261_NODE_42...region001	2527
Pf11_c00696_NODE_69...region001	2527
Pf12_c00362_NODE_36...region001	2527
Pf4_c03039_NODE_30...region001	2527
Pf5_c03102_NODE_31...region001	2527
Pf6_c01005_NODE_10...region001	2527
Pf7_c00956_NODE_95...region001	2527
Pf8_c00453_NODE_45...region001	2527
Pf9_c09751_NODE_97...region001	2527
gb7_c00812_NODE_81...region001	2527
Pf11_c00750_NODE_75...region001	2529
Pf4_c00002_NODE_2_...region001	2529
Pf11_c00795_NODE_79...region001	2531
Pf5_c04905_NODE_49...region001	2531
Pf6_c09688_NODE_96...region001	2531
Pf6_c18219_NODE_18...region001	2531
Pf9_c08765_NODE_87...region001	2531
gb10_c14621_NODE_14...region001	2531
gb2_2_c01567_NODE_15...region001	2531
gb2_2_c19418_NODE_19...region001	2531
Pf11_c00818_NODE_81...region001	2532
Pf12_c04274_NODE_42...region001	2532
Pf4_c01524_NODE_15...region001	2532
Pf5_c02431_NODE_24...region001	2532
Pf8_c01770_NODE_17...region001	2532
gb1_c02086_NODE_20...region001	2532
gb2_2_c03164_NODE_31...region001	2532
gb305_c01831_NODE_18...region001	2532
Pf10_c00331_NODE_33...region001	2539
Pf11_c01131_NODE_11...region001	2539
Pf12_c04393_NODE_43...region001	2539
Pf4_c02371_NODE_23...region001	2539
Pf5_c02386_NODE_23...region001	2539
Pf6_c00204_NODE_20...region001	2539
Pf6_c00498_NODE_49...region001	2539
Pf7_c00004_NODE_4_...region001	2539
Pf7_c00841_NODE_84...region001	2539
Pf8_c01561_NODE_15...region001	2539
Pf11_c01224_NODE_12...region001	2541
Pf10_c03834_NODE_38...region001	2544
Pf11_c01252_NODE_12...region001	2544
Pf12_c01870_NODE_18...region001	2544
Pf4_c00750_NODE_75...region001	2544
Pf6_c02192_NODE_21...region001	2544
Pf7_c06292_NODE_62...region001	2544
Pf8_c00511_NODE_51...region001	2544
Pf9_c00734_NODE_73...region001	2544
Pf11_c01319_NODE_13...region001	2547
Pf4_c00050_NODE_50...region001	2547
Pf5_c01286_NODE_12...region001	2547
Pf8_c05724_NODE_57...region001	2547
Pf9_c02757_NODE_27...region001	2547
gb126_c13875_NODE_13...region001	2547
Pf10_c01968_NODE_19...region001	2548
Pf11_c01326_NODE_13...region001	2548
Pf12_c06359_NODE_63...region001	2548
Pf4_c02831_NODE_28...region001	2548
Pf4_c10193_NODE_10...region001	2548
Pf5_c00559_NODE_55...region001	2548
Pf6_c01766_NODE_17...region001	2548
Pf6_c02429_NODE_24...region001	2548
Pf7_c02394_NODE_23...region001	2548
Pf8_c01478_NODE_14...region001	2548
Pf9_c00903_NODE_90...region001	2548
Pf10_c00964_NODE_96...region001	2549
Pf11_c01336_NODE_13...region001	2549
Pf12_c00323_NODE_32...region001	2549
Pf4_c00308_NODE_30...region001	2549
Pf5_c00600_NODE_60...region001	2549
Pf6_c00796_NODE_79...region001	2549
Pf7_c05287_NODE_52...region001	2549
Pf8_c00778_NODE_77...region001	2549
Pf9_c02068_NODE_20...region001	2549
Pf11_c01455_NODE_14...region001	2553
Pf10_c02368_NODE_23...region001	2555
Pf11_c01496_NODE_14...region001	2555
Pf12_c03820_NODE_38...region001	2555
Pf4_c01634_NODE_16...region001	2555
Pf5_c03686_NODE_36...region001	2555
Pf6_c01524_NODE_15...region001	2555
Pf7_c01680_NODE_16...region001	2555
Pf8_c03541_NODE_35...region001	2555
Aply22_c00362_NODE_36...region001	2556
Pf10_c02284_NODE_22...region001	2556
Pf11_c01500_NODE_15...region001	2556
Pf12_c00457_NODE_45...region001	2556
Pf4_c00264_NODE_26...region001	2556
Pf5_c05129_NODE_51...region001	2556
Pf6_c02427_NODE_24...region001	2556
Pf7_c02269_NODE_22...region001	2556
Pf8_c01825_NODE_18...region001	2556
Pf9_c02064_NODE_20...region001	2556
gb10_c05067_NODE_50...region001	2556
gb2_2_c01267_NODE_12...region001	2556
gb305_c01440_NODE_14...region001	2556
gb3_2_c06079_NODE_60...region001	2556
gb4_2_c04148_NODE_41...region001	2556
gb7_c07975_NODE_79...region001	2556
gb8_2_c06218_NODE_62...region001	2556
Pf11_c01522_NODE_15...region001	2557
Pf12_c00031_NODE_31...region001	2557
Pf4_c00644_NODE_64...region001	2557
Pf5_c00003_NODE_3_...region001	2557
Pf11_c01561_NODE_15...region001	2559
Pf4_c00416_NODE_41...region001	2559
Pf7_c01091_NODE_10...region001	2559
gb10_c07764_NODE_77...region001	2559
gb3_2_c05642_NODE_56...region001	2559
gb5_2_c07526_NODE_75...region001	2559
gb6_c01664_NODE_16...region001	2559
gb7_c12702_NODE_12...region001	2559
gb8_2_c02144_NODE_21...region001	2559
Pf11_c02761_NODE_27...region001	2577
Pf11_c03327_NODE_33...region001	2588
Pf10_c04801_NODE_48...region001	2596
Pf11_c04191_NODE_41...region001	2596
Pf12_c03964_NODE_39...region001	2596
Pf10_c07362_NODE_73...region001	2615
Pf11_c05263_NODE_52...region001	2615
Pf4_c03152_NODE_31...region001	2615
Pf10_c02568_NODE_25...region001	2619
Pf11_c05425_NODE_54...region001	2619
Pf12_c10110_NODE_10...region001	2619
Pf6_c05949_NODE_59...region001	2619
Pf7_c04522_NODE_45...region001	2619
Pf9_c00019_NODE_19...region001	2619
Pf11_c05465_NODE_54...region001	2620
Pf11_c06708_NODE_67...region001	2635
Pf11_c08063_NODE_80...region001	2645
Aply16_c06076_NODE_60...region001	2650
Pf10_c12715_NODE_12...region001	2650
Pf11_c08868_NODE_88...region001	2650
Pf12_c04734_NODE_47...region001	2650
Pf4_c08932_NODE_89...region001	2650
Pf5_c05591_NODE_55...region001	2650
Pf6_c06292_NODE_62...region001	2650
Pf9_c13005_NODE_13...region001	2650
gb3_2_c11016_NODE_11...region001	2650
gb5_2_c03100_NODE_31...region001	2650
Pf11_c09329_NODE_93...region001	2655
Pf7_c00503_NODE_50...region001	2655
Pf9_c00560_NODE_56...region001	2655
Pf11_c09793_NODE_97...region001	2656
gb6_c05417_NODE_54...region001	2656
Pf11_c10303_NODE_10...region001	2659
Pf4_c17255_NODE_17...region001	2659
Pf11_c11453_NODE_11...region001	2664
gb278_c06376_NODE_63...region001	2664
gb2_2_c07732_NODE_77...region001	2664
gb305_c07230_NODE_72...region001	2664
gb3_2_c15244_NODE_15...region001	2664
gb6_c13635_NODE_13...region001	2664
gb7_c23610_NODE_23...region001	2664
