	Aply16	Aply21	Aply22	Aply23	gb10	gb10f	gb1	gb126	gb1f	gb2	gb278	gb2f	gb305	gb3	gb3f	gb4	gb5	gb56f	gb6	gb7	gb8	gb9	gb9f	Pf10	Pf11	Pf12	Pf4	Pf5	Pf6	Pf7	Pf8	Pf9	sw7	sw8	sw9
gb|Aply21_c04759_NODE_47...region001|GC_DNA--Entryname=bacteriocin--OS=4759_length_4867_cov_3_212386--SMASHregion=region001--NR=1	3.3150280368474094	4.178044479864547	4.047545624086003	0.6741015765004961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply21_c04862_NODE_48...region001|GC_DNA--Entryname=terpene--OS=4862_length_4806_cov_1_371290--SMASHregion=region001--NR=1	1.8440886975016488	4.612587143920614	4.505124627015959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6635824706410719	0.7038609986498241	0.6534473777622688	0.0	0.7426265836523016	0.0	0.0	0.0	0.0
gb|Aply21_c05214_NODE_52...region001|GC_DNA--Entryname=NRPS-like--OS=5214_length_4600_cov_2_049945--SMASHregion=region001--NR=1	2.3389632679836394	5.905739663260035	4.191416375144418	4.4036465962631235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9735996992201807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6872082387252973	0.0	0.6767902439978901	0.6750704347957275	0.0	1.1762661056888317	0.0	0.0	0.0
gb|Aply22_c00015_NODE_15...region001|GC_DNA--Entryname=T1PKS--OS=15_length_291234_cov_12_085312--SMASHregion=region001--NR=2--BG=2	6.058391232194763	0.0	5.770290295973261	4.75069073938431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0267617249004433	2.92963281162977
gb|Aply22_c00055_NODE_55...region001|GC_DNA--Entryname=T1PKS--OS=55_length_182676_cov_16_212533--SMASHregion=region001--NR=2--BG=2	6.744281856828451	1.6417460364265208	6.594782311470795	5.548017073226037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c00071_NODE_71...region001|GC_DNA--Entryname=T1PKS--OS=71_length_156896_cov_10_241888--SMASHregion=region001--NR=3--BG=3	5.008698863205284	2.79189863099796	5.137217683301639	2.432472459490835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3479399850732858	1.0675807045793768	1.3672172955517885	0.8272320134414247	1.6249616202378674	1.3329386249640731	1.3301678715158147	0.0	0.9994516304312739	0.0	0.0	0.0
gb|Aply22_c00116_NODE_11...region001|GC_DNA--Entryname=NRPS-like--OS=116_length_120925_cov_18_210896--SMASHregion=region001--NR=3--BG=3	5.470482462523199	5.428355089300083	5.464867616144375	4.573165381140101	0.629854855745757	0.0	0.2565667613162468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28979614543288645	0.5426355353743528	0.0	0.0	0.4708485922397136	0.0	0.0	0.0	1.0974945837952388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.195790397490599	0.0	0.0
gb|Aply22_c00127_NODE_12...region001|GC_DNA--Entryname=T1PKS--OS=127_length_116345_cov_11_365913--SMASHregion=region001--NR=2--BG=2	2.986923833804998	7.369472652111149	3.013763319302439	3.9877259311036917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.639518403740206	2.2757890750391248	2.2147744108226797	3.3111501512782997	1.816756124010874	3.2200656917743067	3.092225333096606	2.930456942739164	0.08078620406706695	0.0	0.0	0.0
gb|Aply22_c00152_NODE_15...region001|GC_DNA--Entryname=LAP:bacteriocin--OS=152_length_107722_cov_20_815236--SMASHregion=region001--NR=2--BG=2	5.901533792830341	1.4118380023381447	5.616861313189212	5.637220107626408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5218289379512755	0.0
gb|Aply22_c00157_NODE_15...region001|GC_DNA--Entryname=bacteriocin--OS=157_length_105635_cov_13_578178--SMASHregion=region001--NR=1	0.46408673908132614	0.5763088447356837	4.3771219659958565	0.8441511613859172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3290017465549542	0.1649010717828186	0.0	0.0	0.18672986145362086	1.1756199226696138	0.0	0.9165309166816343	0.6134895467396251	0.0	0.0	0.0
gb|Aply22_c00196_NODE_19...region001|GC_DNA--Entryname=betalactone--OS=196_length_96195_cov_11_366684--SMASHregion=region001--NR=1	2.2016333182094643	2.6767762743267944	5.192779324896476	4.718367821424004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c00276_NODE_27...region001|GC_DNA--Entryname=NRPS-like--OS=276_length_81266_cov_10_540666--SMASHregion=region001--NR=2--BG=2	1.301070263852114	6.14799152137388	1.6910396500698603	1.3986066133863293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c00280_NODE_28...region001|GC_DNA--Entryname=T1PKS--OS=280_length_80794_cov_8_497442--SMASHregion=region001--NR=1	4.499194508906269	4.6490106871414385	5.124410330407109	5.057210886232656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0834590651561821	0.0	0.043256942723098796	0.0	0.0	0.0	0.2681238262197971	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c00310_NODE_31...region001|GC_DNA--Entryname=lassopeptide--OS=310_length_74436_cov_20_539062--SMASHregion=region001--NR=2--BG=2	0.0	4.557701551360965	5.839779221597326	1.5987966283539494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c00331_NODE_33...region001|GC_DNA--Entryname=T1PKS--OS=331_length_71147_cov_16_117355--SMASHregion=region001--NR=3--BG=3	6.2016055540441455	6.483770684300526	6.205772298699954	3.107012866875535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6812070257133134	0.0	0.0	2.223637213495491	0.42874332650226704	0.0	2.4799387712571095	0.0
gb|Aply22_c00344_NODE_34...region001|GC_DNA--Entryname=T1PKS--OS=344_length_69177_cov_7_999740--SMASHregion=region001--NR=1	4.323662998498383	4.638775323277002	5.164008629141979	4.416836219692292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040330323205279635	0.0	0.0	0.11798329279775106	0.04346617105300248	0.0	0.039528101434858236	0.046483491927634964	0.0	0.0	0.0	0.0
gb|Aply22_c00384_NODE_38...region001|GC_DNA--Entryname=terpene--OS=384_length_65086_cov_27_038812--SMASHregion=region001--NR=3--BG=2	2.9523106885391615	3.682223941523476	3.0387587098699096	0.4182515785061688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9929103794332468	0.0	0.0	0.45981862166633114	0.41812593468045367	0.0	0.0	0.0
gb|Aply22_c00580_NODE_58...region001|GC_DNA--Entryname=other--OS=580_length_49479_cov_14_612901--SMASHregion=region001--NR=1	2.111435189582844	2.625749743767715	3.4488880075783825	1.4900044117037314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6852638449209756	0.32365308227813594	0.6972992320370143	0.20451778150146724	0.45311426576239333	0.6068521258192121	0.4566325632216509	0.8041794421199009	0.5955356504157803	1.2825997315148985	0.0	0.0
gb|Aply22_c00674_NODE_67...region001|GC_DNA--Entryname=terpene--OS=674_length_44636_cov_21_151253--SMASHregion=region001--NR=1	1.8281038512476118	1.1823997363696281	4.3987687672009015	3.891770935203701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8061172356524842	0.0	0.0
gb|Aply22_c00842_NODE_84...region001|GC_DNA--Entryname=T1PKS--OS=842_length_37940_cov_14_257965--SMASHregion=region001--NR=2--BG=2	6.891383709428936	2.3844174012502197	6.826999813843769	6.05291385065119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c01076_NODE_10...region001|GC_DNA--Entryname=terpene--OS=1076_length_31549_cov_6_620023--SMASHregion=region001--NR=1	3.153233939358564	2.834142502152887	3.4193911594531263	2.1076078302526353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2625908439727065	0.3242283115208906	0.5624300562621205	1.1817485250122772	0.6554681610117931	0.0915255825182314	0.5430160947864568	1.344399380609715	0.6963192074153334	0.0	0.0	0.0
gb|Aply22_c01606_NODE_16...region001|GC_DNA--Entryname=terpene--OS=1606_length_22563_cov_19_183357--SMASHregion=region001--NR=1	0.0	0.0	3.895954765967234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5276198470672289	3.339802525811806	3.0282956702473074	0.298873105227115	1.6648208655208605	0.0	0.0	0.0	0.0
gb|Aply22_c01613_NODE_16...region001|GC_DNA--Entryname=T1PKS--OS=1613_length_22462_cov_5_407551--SMASHregion=region001--NR=1	3.798088168679712	2.142272914978442	3.807186745847944	3.371278831791336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c01898_NODE_18...region001|GC_DNA--Entryname=bacteriocin--OS=1898_length_19792_cov_42_827279--SMASHregion=region001--NR=2--BG=2	0.0	6.032742849646893	0.5366808001890682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c01959_NODE_19...region001|GC_DNA--Entryname=bacteriocin--OS=1959_length_19374_cov_5_389875--SMASHregion=region001--NR=1	3.6802163068790485	3.6488341559934825	4.338956199952142	2.790716003668652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9284431727958459	2.7116802178163653	1.9144487145388565	2.0592020510853133	2.4290300677289935	1.0255990576719622	2.6909862784330247	2.217666418994822	0.3911704942566377	0.0	0.0	0.0
gb|Aply22_c02265_NODE_22...region001|GC_DNA--Entryname=T1PKS--OS=2265_length_17176_cov_10_749489--SMASHregion=region001--NR=2--BG=2	6.799144542913408	5.559095417565914	5.1891528841778	4.876080589785313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c02431_NODE_24...region001|GC_DNA--Entryname=NRPS-like--OS=2431_length_16234_cov_7_978552--SMASHregion=region001--NR=1	4.030044099636776	4.735280037071296	4.210297559471215	2.3011181005759505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3861196762947596	2.814814928259714	2.6533381566410736	3.320553431872043	2.719208845714413	3.449197060767392	3.3284509496117334	1.5327571855271502	3.6036386056990146	0.0	2.5169030916312725	0.0
gb|Aply22_c02455_NODE_24...region001|GC_DNA--Entryname=bacteriocin--OS=2455_length_16155_cov_13_214596--SMASHregion=region001--NR=2--BG=2	5.321206506858508	5.026385732886759	5.50206442838564	4.9660608030113735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c02547_NODE_25...region001|GC_DNA--Entryname=terpene--OS=2547_length_15645_cov_9_692303--SMASHregion=region001--NR=3--BG=3	4.329644457189673	4.268728776860692	3.9057593218661033	4.156223758895169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c02832_NODE_28...region001|GC_DNA--Entryname=bacteriocin--OS=2832_length_14441_cov_6_697136--SMASHregion=region001--NR=1	3.7177614501981684	2.5646926390596483	3.942151433217962	3.191991740907586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c02928_NODE_29...region001|GC_DNA--Entryname=bacteriocin--OS=2928_length_14094_cov_13_487499--SMASHregion=region001--NR=3--BG=3	5.143936090021981	3.1667438797613316	5.494877810720821	4.454441208597715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6255292116126334	0.0	0.6640807377894475	0.0	2.1487590864443984	1.3436916973383053	0.0	0.0	0.0
gb|Aply22_c03009_NODE_30...region001|GC_DNA--Entryname=betalactone--OS=3009_length_13779_cov_4_689595--SMASHregion=region001--NR=1	3.1175988907049277	4.908517741104708	4.567705999413087	4.031888867948652	0.0	0.0	0.7003033775233579	0.0	0.0	1.0121791270331297	0.0	0.0	0.0	0.8198425381406842	0.0	1.414939538881227	0.7932571105819566	0.0	0.7213063865525391	0.0	1.101422433014074	0.5156021168913014	0.0	0.8585193594440961	1.9924989235741184	1.8880620083872512	2.4545339880765917	0.7294626516730026	1.721613587541926	0.48376614744110524	0.9555011207495349	0.0	0.0	0.0	0.0
gb|Aply22_c03022_NODE_30...region001|GC_DNA--Entryname=T1PKS--OS=3022_length_13738_cov_4_786523--SMASHregion=region001--NR=1	3.2182302150214457	1.4641227691612326	3.759239647366042	2.262465035477272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8201562867465875	0.0	0.0	0.0
gb|Aply22_c03034_NODE_30...region001|GC_DNA--Entryname=NRPS-like--OS=3034_length_13697_cov_10_989738--SMASHregion=region001--NR=1	3.5736703821857687	1.5657172852705181	5.718115397352567	0.8848323454243946	2.6562125007393798	0.0	2.59184639228362	2.553043210149291	0.0	2.9828647238375505	0.5448829517854339	0.0	0.5206360963219783	2.7869637437026	0.0	2.533536561187496	2.623303809858683	0.0	2.869488017893147	2.581482652439879	1.8061701897239102	1.7556967843300162	0.0	0.14045879722094765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2796250892853718	0.0	0.0
gb|Aply22_c03067_NODE_30...region001|GC_DNA--Entryname=bacteriocin--OS=3067_length_13587_cov_7_586462--SMASHregion=region001--NR=1	2.1951260508023567	3.430074428538905	4.0039790253137815	3.1340610814453593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c03075_NODE_30...region001|GC_DNA--Entryname=bacteriocin--OS=3075_length_13547_cov_5_025422--SMASHregion=region001--NR=1	3.4371834589353836	3.1371637061360422	3.223345578682859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5141834023119445	0.4904057826333689	0.0	0.5150428734765726	0.5479264799319619	0.8811012327785377	1.175462962173451	0.3187925002037465	0.0	0.0	0.0	0.0
gb|Aply22_c03229_NODE_32...region001|GC_DNA--Entryname=NRPS--OS=3229_length_13059_cov_8_348970--SMASHregion=region001--NR=2--BG=2	7.252024755586995	0.0	4.523324300825023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c03315_NODE_33...region001|GC_DNA--Entryname=terpene--OS=3315_length_12754_cov_11_603433--SMASHregion=region001--NR=3--BG=3	5.85770211874531	1.3675453434095854	5.827112174193848	4.462240832098186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0864472695968572	2.7617149390999094	2.594576926235906	1.0568786377093933	2.846529534414624	0.7090997044127854	0.8897029040466271	0.0	0.0	0.0
gb|Aply22_c03453_NODE_34...region001|GC_DNA--Entryname=terpene--OS=3453_length_12214_cov_10_467226--SMASHregion=region001--NR=2--BG=2	5.285530276281238	5.468514091142857	5.491995884683638	5.66989508374388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5974934116064679	2.7700532415541668	0.0	0.0	0.0	0.0	1.0039461810539907	0.0	4.168720185485033	0.0	0.0	0.0
gb|Aply22_c03591_NODE_35...region001|GC_DNA--Entryname=terpene--OS=3591_length_11848_cov_7_472229--SMASHregion=region001--NR=1	0.0	0.0	3.888912256892781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c03921_NODE_39...region001|GC_DNA--Entryname=terpene--OS=3921_length_10985_cov_4_921500--SMASHregion=region001--NR=1	3.304095622269573	3.7247573359614123	3.582385289544631	1.5095484694346593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66334980389095	2.1686173031978924	2.1759361798152597	2.234154484306403	2.0094974369152863	3.069422777072018	2.780665392284555	1.1231027643246896	2.8740290850052173	0.0	0.0	0.0
gb|Aply22_c03949_NODE_39...region001|GC_DNA--Entryname=terpene--OS=3949_length_10926_cov_5_903505--SMASHregion=region001--NR=1	3.982934678832463	4.261885913768806	4.819885676870614	3.9127970023110374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.645184221920492	2.321812931051854	2.785826122621735	2.389195292328461	3.259280966840185	3.4367483559304164	3.3461213872067703	2.9925877093761253	2.8807412817469973	0.0	0.0	0.0
gb|Aply22_c03969_NODE_39...region001|GC_DNA--Entryname=NRPS--OS=3969_length_10876_cov_7_882820--SMASHregion=region001--NR=1	5.346242923522684	5.976459236601102	6.601418582724491	7.138826236930169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply22_c04915_NODE_49...region001|GC_DNA--Entryname=bacteriocin--OS=4915_length_8961_cov_11_522681--SMASHregion=region001--NR=1	3.139982091201243	3.72886135293547	4.92024777364342	2.9906612624958444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24446469773090473	0.0	0.0	0.0	0.0
